rank_wealth_viable,label,rerisk,hold,cap,derisk,terminal_wealth,max_drawdown,avg_daily_ret,vol_daily_ret,wealth_viable,error,is_valid
40,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.3,0.05,0.05,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
41,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.3,0.05,0.1,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
42,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.3,0.05,0.15,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
43,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.4,0.05,0.05,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
44,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.4,0.05,0.1,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
45,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.4,0.05,0.15,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
46,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.5,0.05,0.05,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
47,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.5,0.05,0.1,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
48,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.5,0.05,0.15,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
49,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.2,0.02,0.05,0.0,1.0094756833229168,-0.0048686709646349,6.713061057483899e-07,5.871218165660842e-05,True,,True
50,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.2,0.02,0.1,0.0,1.0094756833229168,-0.0048686709646349,6.713061057483899e-07,5.871218165660842e-05,True,,True
