rank,stress_cap,derisk_cap,panic_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio,robust_score
88,0.18,0.28,0.14,1.0,1.8132311934096221,1.0,29.3304015106179,1.0264942537894481,-0.11832210720960268,-0.27654824654814536,-0.27621502359811967,0.10167789279039732,-0.010548246548145346,-0.00521502359811965,-0.010548246548145346,106.18684359939923,82.57638092833467
89,0.18,0.3,0.08,0.95,1.8125469292711491,1.0,29.009786732893595,1.0352427217441889,-0.11454735328581267,-0.2721944276112127,-0.27187379342023876,0.10545264671418733,-0.006194427611212694,-0.0008737934202387443,-0.006194427611212694,106.70313739306532,82.53743183571903
90,0.18,0.3,0.1,0.95,1.8125469292711491,1.0,29.009786732893595,1.0352427217441889,-0.11454735328581267,-0.2721944276112127,-0.27187379342023876,0.10545264671418733,-0.006194427611212694,-0.0008737934202387443,-0.006194427611212694,106.70313739306532,82.53743183571903
91,0.18,0.3,0.12,0.95,1.8125469292711491,1.0,29.009786732893595,1.0352427217441889,-0.11454735328581267,-0.2721944276112127,-0.27187379342023876,0.10545264671418733,-0.006194427611212694,-0.0008737934202387443,-0.006194427611212694,106.70313739306532,82.53743183571903
92,0.18,0.3,0.14,0.95,1.8125469292711491,1.0,29.009786732893595,1.0352427217441889,-0.11454735328581267,-0.2721944276112127,-0.27187379342023876,0.10545264671418733,-0.006194427611212694,-0.0008737934202387443,-0.006194427611212694,106.70313739306532,82.53743183571903
93,0.2,0.28,0.08,1.0,1.8132311934096221,1.0,29.305907547772488,1.026202809791504,-0.11832210720960268,-0.27718787116745724,-0.27685491571549525,0.10167789279039732,-0.01118787116745723,-0.005854915715495235,-0.01118787116745723,105.85294276619655,82.38168013699179
94,0.2,0.28,0.1,1.0,1.8132311934096221,1.0,29.305907547772488,1.026202809791504,-0.11832210720960268,-0.27718787116745724,-0.27685491571549525,0.10167789279039732,-0.01118787116745723,-0.005854915715495235,-0.01118787116745723,105.85294276619655,82.38168013699179
95,0.2,0.28,0.12,1.0,1.8132311934096221,1.0,29.305907547772488,1.026202809791504,-0.11832210720960268,-0.27718787116745724,-0.27685491571549525,0.10167789279039732,-0.01118787116745723,-0.005854915715495235,-0.01118787116745723,105.85294276619655,82.38168013699179
96,0.2,0.28,0.14,1.0,1.8132311934096221,1.0,29.305907547772488,1.026202809791504,-0.11832210720960268,-0.27718787116745724,-0.27685491571549525,0.10167789279039732,-0.01118787116745723,-0.005854915715495235,-0.01118787116745723,105.85294276619655,82.38168013699179
97,0.2,0.3,0.08,0.95,1.8125469292711491,1.0,28.98556478195261,1.0349466125466278,-0.11454735328581267,-0.2728379017915923,-0.27251752683631436,0.10545264671418733,-0.006837901791592271,-0.0015175268363143424,-0.006837901791592271,106.36220399637847,82.3394665936932
98,0.2,0.3,0.1,0.95,1.8125469292711491,1.0,28.98556478195261,1.0349466125466278,-0.11454735328581267,-0.2728379017915923,-0.27251752683631436,0.10545264671418733,-0.006837901791592271,-0.0015175268363143424,-0.006837901791592271,106.36220399637847,82.3394665936932
99,0.2,0.3,0.12,0.95,1.8125469292711491,1.0,28.98556478195261,1.0349466125466278,-0.11454735328581267,-0.2728379017915923,-0.27251752683631436,0.10545264671418733,-0.006837901791592271,-0.0015175268363143424,-0.006837901791592271,106.36220399637847,82.3394665936932
100,0.2,0.3,0.14,0.95,1.8125469292711491,1.0,28.98556478195261,1.0349466125466278,-0.11454735328581267,-0.2728379017915923,-0.27251752683631436,0.10545264671418733,-0.006837901791592271,-0.0015175268363143424,-0.006837901791592271,106.36220399637847,82.3394665936932
101,0.16,0.28,0.08,0.95,1.7910137286739896,1.0,27.41398436393134,1.035310316512837,-0.109123788781743,-0.2535937046373705,-0.26054622201572375,0.110876211218257,0.012406295362629494,0.010453777984276269,0.010453777984276269,105.21735510821159,80.28199287126108
102,0.16,0.28,0.1,0.95,1.7910137286739896,1.0,27.41398436393134,1.035310316512837,-0.109123788781743,-0.2535937046373705,-0.26054622201572375,0.110876211218257,0.012406295362629494,0.010453777984276269,0.010453777984276269,105.21735510821159,80.28199287126108
