rank,stress_cap,derisk_cap,panic_cap,overall_scale,risk_on_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
353,0.16,0.38,0.06,1.0,1.04,1.0,0.8,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
354,0.16,0.38,0.06,1.0,1.04,1.0,0.83,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
355,0.16,0.38,0.06,1.0,1.04,1.0,0.85,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
356,0.16,0.38,0.06,1.0,1.04,1.0,0.87,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
357,0.16,0.38,0.07,1.0,1.04,1.0,0.8,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
358,0.16,0.38,0.07,1.0,1.04,1.0,0.83,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
359,0.16,0.38,0.07,1.0,1.04,1.0,0.85,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
360,0.16,0.38,0.07,1.0,1.04,1.0,0.87,1.6525488998760398,1.0,26.504562714922052,1.0295792019323355,-0.10965441965768108,-0.25181465765013944,-0.2667319765965086,0.11034558034231892,0.014185342349860575,0.004268023403491417,0.004268023403491417,99.36777379720053
361,0.16,0.36,0.06,1.01,0.98,1.01,0.8,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
362,0.16,0.36,0.06,1.01,0.98,1.01,0.83,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
